area,item,year,hg/ha_yield,average_rainfall,presticides_tonnes,avg_temp
Albania,Maize,1990,36613,1485,121,16.37
Albania,Potatoes,1990,66667,1485,121,16.37
Albania,"Rice, paddy",1990,23333,1485,121,16.37
Albania,Sorghum,1990,12500,1485,121,16.37
Albania,Soybeans,1990,7000,1485,121,16.37
Albania,Wheat,1990,30197,1485,121,16.37
Albania,Maize,1991,29068,1485,121,15.36
Albania,Potatoes,1991,77818,1485,121,15.36
Albania,"Rice, paddy",1991,28538,1485,121,15.36
Albania,Sorghum,1991,6667,1485,121,15.36
Albania,Soybeans,1991,6066,1485,121,15.36
Albania,Wheat,1991,20698,1485,121,15.36
Albania,Maize,1992,24876,1485,121,16.06
Albania,Potatoes,1992,82920,1485,121,16.06
Albania,"Rice, paddy",1992,40000,1485,121,16.06
Albania,Sorghum,1992,3747,1485,121,16.06
Albania,Soybeans,1992,4507,1485,121,16.06
Albania,Wheat,1992,24388,1485,121,16.06
Albania,Maize,1993,24185,1485,121,16.05
Albania,Potatoes,1993,98446,1485,121,16.05
Albania,"Rice, paddy",1993,41786,1485,121,16.05
Albania,Soybeans,1993,7998,1485,121,16.05
Albania,Wheat,1993,29976,1485,121,16.05
Albania,Maize,1994,25848,1485,201,16.96
Albania,Potatoes,1994,81404,1485,201,16.96
Albania,Soybeans,1994,7927,1485,201,16.96
Albania,Wheat,1994,24745,1485,201,16.96
Albania,Maize,1995,31300,1485,251,15.67
Albania,Potatoes,1995,111323,1485,251,15.67
Albania,Soybeans,1995,11791,1485,251,15.67
Albania,Wheat,1995,28703,1485,251,15.67
Albania,Maize,1996,32604,1485,313.96,15.64
Albania,Potatoes,1996,106138,1485,313.96,15.64
Albania,Soybeans,1996,15480,1485,313.96,15.64
Albania,Wheat,1996,21741,1485,313.96,15.64
Albania,Maize,1997,31862,1485,376.93,15.9
Albania,Potatoes,1997,109874,1485,376.93,15.9
Albania,Soybeans,1997,12768,1485,376.93,15.9
Albania,Wheat,1997,28516,1485,376.93,15.9
Albania,Maize,1998,33416,1485,439.89,16.27
Albania,Potatoes,1998,127212,1485,439.89,16.27
Albania,Soybeans,1998,14327,1485,439.89,16.27
Albania,Wheat,1998,28037,1485,439.89,16.27
Albania,Maize,1999,37455,1485,502.86,16.57
Albania,Potatoes,1999,142018,1485,502.86,16.57
Albania,Soybeans,1999,17143,1485,502.86,16.57
Albania,Wheat,1999,24954,1485,502.86,16.57
Albania,Maize,2000,38811,1485,565.82,16.67
Albania,Potatoes,2000,141228,1485,565.82,16.67
Albania,Soybeans,2000,15000,1485,565.82,16.67
Albania,Wheat,2000,30455,1485,565.82,16.67
Albania,Maize,2001,38135,1485,628.79,16.59
Albania,Potatoes,2001,148818,1485,628.79,16.59
Albania,Soybeans,2001,20000,1485,628.79,16.59
Albania,Wheat,2001,28220,1485,628.79,16.59
Albania,Maize,2002,39460,1485,691.75,16.47
Albania,Potatoes,2002,153868,1485,691.75,16.47
Albania,Soybeans,2002,20000,1485,691.75,16.47
Albania,Wheat,2002,31617,1485,691.75,16.47
Albania,Maize,2004,46197,1485,817.68,16.16
Albania,Potatoes,2004,149346,1485,817.68,16.16
Albania,Soybeans,2004,13333,1485,817.68,16.16
Albania,Wheat,2004,31130,1485,817.68,16.16
Albania,Maize,2005,45442,1485,880.64,15.67
Albania,Potatoes,2005,167061,1485,880.64,15.67
